field,participants_n,participants_male,participants_female,participants_nonbin,race_ethn_reported,income_or_ses_reported,location_reported,general_sample,participants_asian_pacificislander,participants_black,participants_latinx,participants_native_am,participants_white,participants_multi_other,id,soc,cog,dev,pers,conbeh,neuro,other,field_combo,singlefield
"dev,neuro,social",65,0,65,0,0,0,1,no,NA,NA,NA,NA,NA,NA,1,1,0,1,0,0,1,0,socdevneuro,0
"psych, bio, social",314,238,76,0,1,0,1,no,NA,no,NA,NA,yes,NA,2,1,0,0,0,0,0,0,soc,0
"psych, social",2070,828,1242,0,1,1,0,yes,NA,yes,NA,NA,yes,NA,3,1,0,0,0,0,0,0,soc,0
"psych, cognitive",237,45,192,0,0,1,1,no,NA,NA,NA,NA,NA,NA,4,0,1,0,0,0,0,0,cog,1
"psych, social",333,91,242,0,1,0,1,no,60,34,31,NA,208,NA,5,1,0,0,0,0,0,0,soc,0
"psych, social, personality",1512,611,900,1,1,1,1,no,NA,NA,NA,NA,yes,NA,6,1,0,0,1,0,0,0,socpers,1
"neuro, cognitive",78,39,39,0,0,0,0,yes,NA,NA,NA,NA,NA,NA,7,0,1,0,0,0,1,0,cogneuro,0
"neuro, cognitive",313,128,185,0,0,0,0,yes,NA,NA,NA,NA,NA,NA,8,0,1,0,0,0,1,0,cogneuro,0
"psych, social",771,423,347,0,0,0,0,yes,NA,NA,NA,NA,NA,NA,9,1,0,0,0,0,0,0,soc,0
"psych, social, personality",1010,449,561,0,0,0,1,no,NA,NA,NA,NA,NA,NA,10,1,0,0,1,0,0,0,socpers,1
"psych, cognitive",55,4,49,0,0,0,1,yes,NA,NA,NA,NA,NA,NA,11,0,1,0,0,0,0,0,cog,1
other,515,245,270,3,1,1,1,yes,32,39,51,1,424,25,12,0,0,0,0,0,0,1,other,1
"other, dev",473,101,372,NA,1,0,1,no,57,9,49,3,338,17,13,0,0,1,0,0,0,1,devother,0
"other, dev",660,484,176,NA,1,0,1,no,7,30,153,21,413,36,14,0,0,1,0,0,0,1,devother,0
"psych, soc, neuro",245,87,158,NA,1,0,0,no,NA,NA,NA,NA,NA,119,15,1,0,0,0,0,1,0,socneuro,1
"pers, soc",319,148,171,NA,1,0,0,no,51,14,14,3,176,61,16,1,0,0,1,0,0,0,socpers,1
"dev, other",1399,713,686,NA,1,0,1,no,0,280,0,0,1009,110,17,0,0,1,0,0,0,1,devother,0
"pers, soc",1853,890,963,NA,1,0,1,no,366,24,483,0,92,888,18,1,0,0,1,0,0,0,socpers,1
soc,251,55,194,NA,1,0,1,no,251,0,0,0,0,0,19,1,0,0,0,0,0,0,soc,0
"pers, soc",402,183,214,NA,1,0,0,yes,8,9,8,0,94,5,20,1,0,0,1,0,0,0,socpers,1
soc,846,269,571,NA,1,0,1,no,160,95,120,0,340,59,21,1,0,0,0,0,0,0,soc,0
other,15,15,0,NA,1,0,1,no,15,0,0,0,0,0,22,0,0,0,0,0,0,1,other,1
soc,1076,393,662,NA,1,0,1,no,1076,0,0,0,0,0,23,1,0,0,0,0,0,0,soc,0
other,1310,684,626,NA,1,0,1,no,276,246,0,0,788,113,24,0,0,0,0,0,0,1,other,1
dev,105,57,48,NA,1,1,1,no,NA,98,NA,NA,NA,7,25,0,0,1,0,0,0,0,dev,1
dev,123,123,0,NA,1,0,1,no,NA,95,6,NA,20,2,26,0,0,1,0,0,0,0,dev,1
dev,649,332,317,NA,1,1,1,no,NA,494,NA,NA,45,110,27,0,0,1,0,0,0,0,dev,1
neuro,42,13,29,NA,0,0,1,no,NA,NA,NA,NA,NA,NA,28,0,0,0,0,0,1,0,neuro,1
neuro,472,225,247,NA,1,1,1,no,71,253,134,NA,14,NA,29,0,0,0,0,0,1,0,neuro,1
neuro,20,7,13,NA,0,0,0,no,NA,NA,NA,NA,NA,NA,30,0,0,0,0,0,1,0,neuro,1
neuro,20,11,9,NA,0,1,0,no,NA,NA,NA,NA,NA,NA,31,0,0,0,0,0,1,0,neuro,1
"cog,neuro",22,13,9,NA,0,0,0,yes,NA,NA,NA,NA,NA,NA,32,0,1,0,0,0,1,0,cogneuro,0
"cog,neuro",20,10,10,NA,0,0,0,yes,NA,NA,NA,NA,NA,NA,33,0,1,0,0,0,1,0,cogneuro,0
"cog,neuro",111,49,62,NA,0,0,0,yes,NA,NA,NA,NA,NA,NA,34,0,1,0,0,0,1,0,cogneuro,0
"cog,neuro",45,15,30,NA,0,0,1,yes,NA,NA,NA,NA,NA,NA,35,0,1,0,0,0,1,0,cogneuro,0
"soc,neuro",59,29,30,NA,0,0,1,yes,NA,NA,NA,NA,NA,NA,36,1,0,0,0,0,1,0,socneuro,1
"dev,cog",59,25,34,NA,0,0,0,yes,NA,NA,NA,NA,NA,NA,37,0,1,1,0,0,0,0,cogdev,0
"cog,other",61,22,39,NA,0,0,1,yes,NA,NA,NA,NA,NA,NA,38,0,1,0,0,0,0,1,cogother,0
soc,282,116,166,NA,1,0,1,yes,NA,NA,NA,NA,200,NA,39,1,0,0,0,0,0,0,soc,0
"cog,soc",97,23,74,NA,0,0,1,yes,NA,NA,NA,NA,NA,NA,40,1,1,0,0,0,0,0,soccog,1
"cog,neuro",17,12,5,NA,0,0,0,yes,NA,NA,NA,NA,NA,NA,41,0,1,0,0,0,1,0,cogneuro,0
"cog,neuro",19,7,12,NA,1,0,0,yes,NA,NA,NA,NA,NA,NA,42,0,1,0,0,0,1,0,cogneuro,0
"cog,neuro",20,9,11,NA,0,0,0,yes,NA,NA,NA,NA,NA,NA,43,0,1,0,0,0,1,0,cogneuro,0
"cog,neuro",51,36,15,NA,0,0,1,yes,NA,NA,NA,NA,NA,NA,44,0,1,0,0,0,1,0,cogneuro,0
"cog,neuro",127,72,55,NA,0,0,0,yes,NA,NA,NA,NA,NA,NA,45,0,1,0,0,0,1,0,cogneuro,0
"soc,cog,neuro",47,27,20,NA,0,0,0,yes,NA,NA,NA,NA,NA,NA,46,1,1,0,0,0,1,0,soccogneuro,0
"cog,neuro",21,10,11,NA,1,0,1,yes,NA,NA,NA,NA,NA,NA,47,0,1,0,0,0,1,0,cogneuro,0
"soc,cog,neuro",40,20,20,NA,0,0,1,yes,NA,NA,NA,NA,NA,NA,48,1,1,0,0,0,1,0,soccogneuro,0
"cog,neuro",20,9,11,NA,0,0,0,yes,NA,NA,NA,NA,NA,NA,49,0,1,0,0,0,1,0,cogneuro,0
"cog,neuro",34,18,16,NA,0,0,0,yes,NA,NA,NA,NA,NA,NA,50,0,1,0,0,0,1,0,cogneuro,0
"cog,neuro",40,14,26,NA,0,0,0,yes,NA,NA,NA,NA,NA,NA,51,0,1,0,0,0,1,0,cogneuro,0
"cog,neuro",112,44,68,NA,0,0,1,yes,NA,NA,NA,NA,NA,NA,52,0,1,0,0,0,1,0,cogneuro,0
"cog,neuro",24,9,15,NA,0,0,1,yes,NA,NA,NA,NA,NA,NA,53,0,1,0,0,0,1,0,cogneuro,0
"cog,neuro",56,28,28,NA,0,0,1,yes,NA,NA,NA,NA,NA,NA,54,0,1,0,0,0,1,0,cogneuro,0
"cog,neuro",24,16,8,NA,0,0,0,yes,NA,NA,NA,NA,NA,NA,55,0,1,0,0,0,1,0,cogneuro,0
"cog,neuro",60,NA,NA,NA,0,0,1,yes,NA,NA,NA,NA,NA,NA,56,0,1,0,0,0,1,0,cogneuro,0
"cog,neuro",186,74,112,NA,0,0,0,yes,NA,NA,NA,NA,NA,NA,57,0,1,0,0,0,1,0,cogneuro,0
"cog,neuro",74,33,41,NA,0,0,1,yes,NA,NA,NA,NA,NA,NA,58,0,1,0,0,0,1,0,cogneuro,0
"cog,neuro",20,7,13,NA,0,0,1,yes,NA,NA,NA,NA,NA,NA,59,0,1,0,0,0,1,0,cogneuro,0
"cog,neuro",30,17,13,NA,0,0,0,yes,NA,NA,NA,NA,NA,NA,60,0,1,0,0,0,1,0,cogneuro,0
"cog,neuro",20,11,9,NA,0,0,0,yes,NA,NA,NA,NA,NA,NA,61,0,1,0,0,0,1,0,cogneuro,0
"soc, cog",358,210,148,NA,0,1,1,yes,NA,NA,NA,NA,NA,NA,62,1,1,0,0,0,0,0,soccog,1
cog,1290,561,729,NA,0,1,0,yes,NA,NA,NA,NA,NA,NA,63,0,1,0,0,0,0,0,cog,1
soc,8434,3868,4566,NA,1,0,1,yes,NA,NA,NA,NA,NA,NA,64,1,0,0,0,0,0,0,soc,0
"cog , other",186,66,120,NA,0,1,1,yes,NA,NA,NA,NA,NA,NA,65,0,1,0,0,0,0,1,cogother,0
"cog, neuro",43,26,17,NA,0,1,1,yes,NA,NA,NA,NA,NA,NA,66,0,1,0,0,0,1,0,cogneuro,0
