ID,test_type,assessment,age,gender,education_level,raw_score,gameplays_prior,unique_days_prior,gametime_prior,days_since_first_test,ethnicity,pretest_score,delta,english_nativelang,years_edu,edu_cat,imaginary_screensize,eyesight_z
18625,post,AR,15,female,some high school,17,380,334,102.2488292,74.25,white,99.27980911701225,9.10874554716635,yes,10,hs,1322,0.1582030336564046
57788,post,AR,54,female,bachelors degree,13,469,410,92.69003596666667,91,unspecified,102.39649297175713,-6.039871779654476,unspecified,NA,college,1310,0.5509526009928383
8473,post,AR,47,female,bachelors degree,19,2365,1605,962.8596191833334,99.70833333333333,white,105.31617807887685,9.060645457730942,yes,16,college,1330,0.12653363142792362
16777,post,AR,21,female,associates or some college,14,352,231,161.2823433,90,unspecified,99.27980911701225,0,unspecified,NA,college,1319,-0.35963269677200327
31751,post,AR,46,female,bachelors degree,15,1152,340,289.6398030666667,69.70833333333333,white,99.27980911701225,3.1166838547448776,yes,17,college,1323,-0.8272258601051995
18511,post,AR,51,male,bachelors degree,12,241,158,46.33212983333333,74.83333333333333,white,96.35662119210265,-3.1369087409638325,yes,16,college,1315,-1.5826962991236337
3796,post,AR,26,female,bachelors degree,12,346,211,89.64006738333333,70.875,asian,96.35662119210265,-3.1369087409638325,no,16,college,1325,-0.4807341744690002
26421,post,AR,56,female,bachelors degree,12,491,332,125.41803505,146.58333333333334,white,99.27980911701225,-6.060096665873431,yes,17,college,1329,-1.1176125599292082
3215,post,AR,36,female,bachelors degree,15,63,61,14.277498683333334,90.79166666666667,white,114.37682353660779,-11.98033056485066,yes,18,college,1322,0.4066881679185308
59020,post,AR,59,female,bachelors degree,12,400,344,76.63678546666667,69.83333333333333,white,99.27980911701225,-6.060096665873431,yes,16,college,1317,-0.6342818326472973
18236,post,AR,58,female,bachelors degree,11,943,903,169.15245771666667,69.66666666666667,white,96.35662119210265,-6.109181740893106,yes,16,college,1310,-1.1043083221649046
26811,post,AR,34,male,bachelors degree,19,181,180,35.64501225,128.91666666666666,hispanic,123.17127353035382,-8.794449993746028,yes,16,college,1320,0.2165430900828258
22899,post,AR,57,female,associates or some college,13,119,38,22.758807,97.95833333333333,unspecified,87.04122872468464,9.315392467418008,yes,14,college,1332,-1.4167811677996256
51990,post,AR,56,male,masters degree or equivalent,18,239,234,46.15215925,70.79166666666667,white,108.3885546641786,2.9181959098016677,unspecified,18,postcollege,1321,-0.9756528457368014
40833,post,AR,52,female,masters degree or equivalent,20,115,110,27.605406783333333,70.29166666666667,white,117.29430352573115,0,yes,19,postcollege,1310,0.9543077333747962
11821,post,AR,27,male,associates or some college,9,205,189,36.1856546,246.25,white,105.31617807887685,-21.399797363317177,yes,13,college,1312,-1.481526656728702
24457,post,AR,58,male,associates or some college,17,165,151,34.761761033333336,69.95833333333333,unspecified,96.35662119210265,12.031933472075949,unspecified,NA,college,1331,-0.14595954118374013
32184,post,AR,59,male,associates or some college,19,273,263,62.960730733333335,71.04166666666667,white,114.37682353660779,0,yes,14,college,1305,0.40288747832187266
12978,post,AR,36,male,bachelors degree,17,252,225,47.93097803333333,97.875,unspecified,99.27980911701225,9.10874554716635,unspecified,NA,college,1323,-0.5758635449309206
36750,post,AR,55,female,associates or some college,12,48,48,8.975265666666667,193.66666666666666,white,99.27980911701225,-6.060096665873431,yes,14,college,1304,-0.3549479332944112
29889,post,AR,53,male,high school,24,1679,257,406.7887084166667,83.95833333333333,white,108.3885546641786,20.75134010055953,yes,11,hs,1320,1.4938663155821776
50771,post,AR,59,male,phd,16,72,68,14.81006505,70.04166666666667,white,105.31617807887685,0,yes,20,postcollege,1314,2.1812067504050296
27679,post,AR,21,male,bachelors degree,11,73,58,19.164914083333333,190.125,white,96.35662119210265,-6.109181740893106,no,14,college,1331,-0.8077701298988856
12477,post,AR,56,female,bachelors degree,16,265,229,60.32187465,123.29166666666667,white,93.21971245113882,12.096465627738027,yes,16,college,1319,0.36063722431246786
32610,post,AR,48,female,bachelors degree,17,537,474,103.01140503333333,70.91666666666667,white,96.35662119210265,12.031933472075949,yes,16,college,1323,0.10188897930729317
61420,post,AR,54,female,phd,9,827,398,206.29549963333335,69.79166666666667,white,73.62967004333692,10.286710672222753,yes,20,postcollege,1341,-1.6948691292850089
20442,post,AR,29,female,associates or some college,12,164,141,54.00379146666667,78.875,white,93.21971245113882,0,yes,14,college,1310,-0.5049764791216459
11190,post,AR,28,female,bachelors degree,21,198,163,39.02507108333334,77,asian,126.13779899619367,-5.802251612955743,yes,16,college,1315,0.8158478420638928
63422,post,AR,53,female,masters degree or equivalent,20,259,250,59.249345516666665,94.95833333333333,unspecified,114.37682353660779,2.9174799891233647,unspecified,NA,postcollege,1303,1.1092393796874063
62099,post,AR,57,female,associates or some college,12,182,178,34.184790416666665,90.875,unspecified,90.24743945120954,2.972272999929274,unspecified,NA,college,1326,0.37711512916223927
53381,post,AR,43,male,associates or some college,19,124,117,29.283248516666667,77.75,white,114.37682353660779,0,yes,14,college,1316,0.08274541208439301
32304,post,AR,40,female,masters degree or equivalent,22,243,243,48.54648216666667,69.625,white,114.37682353660779,8.794449993746028,yes,20,postcollege,1320,1.6238538726314522
994,post,AR,56,female,associates or some college,11,3905,3745,821.0858216833334,90,unspecified,99.27980911701225,-9.032369665802705,unspecified,NA,college,1338,-0.10859804920793184
49967,post,AR,46,female,associates or some college,17,216,207,47.62809705,70.66666666666667,hispanic,120.33554738323792,-11.946992719059324,no,14,college,1311,-0.046340086807131614
25921,post,AR,52,female,masters degree or equivalent,15,1145,446,325.8305968,69.95833333333333,asian,93.21971245113882,9.176780520618308,no,19,postcollege,1308,1.265510765151966
29232,post,AR,33,female,bachelors degree,18,116,107,23.72278336666667,69.91666666666667,unspecified,90.24743945120954,21.059311122770723,unspecified,NA,college,1317,1.5418515243906072
33270,post,AR,42,male,some high school,9,60,59,10.794863666666666,69.5,white,70.13496580221123,13.781414913348442,yes,11,hs,1333,-1.057707068291539
1806,post,AR,38,female,masters degree or equivalent,29,1067,390,456.01626980000003,70.25,white,135.20157075228917,8.34820867502026,no,18,postcollege,1286,1.8382091304211248
61706,post,AR,31,female,masters degree or equivalent,10,251,113,92.47909193333334,92.875,unspecified,105.31617807887685,-18.274949354192202,unspecified,NA,postcollege,1318,-1.0026472059686713
38497,post,AR,29,female,bachelors degree,12,149,146,35.18509486666667,69.91666666666667,native_american,87.04122872468464,6.178483726454175,yes,16,college,1322,-0.9039685351495501
48117,post,AR,23,male,high school,18,27,27,9.137201166666667,309,white,102.39649297175713,8.91025760222314,yes,14,hs,1312,0.6909145646332123
10886,post,AR,49,unspecified,unspecified,18,1984,1644,585.5980556666667,70.5,white,111.30675057398027,0,unspecified,14,unspecified,1293,1.5475946644418968
32651,post,AR,51,female,masters degree or equivalent,20,959,231,345.57899148333337,70.58333333333333,white,108.3885546641786,8.905748861552553,yes,18,postcollege,1327,-0.5874727537121809
66093,post,AR,55,female,high school,18,346,346,67.29249915,90,unspecified,93.21971245113882,18.08703812284145,unspecified,NA,hs,1327,0.7002812674414066
34400,post,AR,40,female,bachelors degree,16,336,200,102.62901624999999,189.25,white,96.35662119210265,8.959556886774195,yes,16,college,1315,0.45784190716532713
41602,post,AR,40,female,unspecified,11,684,364,210.5523214,70.5,white,87.04122872468464,3.206210726524901,yes,15,unspecified,1307,-0.1769693130796941
7992,post,AR,30,male,associates or some college,22,611,590,110.97707998333334,386.6666666666667,white,123.17127353035382,0,yes,14,college,1326,1.0167507814167367
38592,post,AR,37,female,phd,19,667,642,234.01312041666668,69.95833333333333,white,120.33554738323792,-5.958723846630136,yes,20,postcollege,1317,0.7819227107768575
26359,post,AR,43,female,masters degree or equivalent,20,585,311,175.46200728333332,69.95833333333333,white,96.35662119210265,20.9376823336285,yes,20,postcollege,1321,1.6415397173936348
59483,post,AR,50,female,bachelors degree,18,257,247,56.99845663333333,90.75,unspecified,111.30675057398027,0,unspecified,NA,college,1329,0.4481048206834187
