ID,test_type,assessment,age,gender,education_level,raw_score,gameplays_prior,unique_days_prior,gametime_prior,days_since_first_test,ethnicity,pretest_score,delta,english_nativelang,years_edu
22400,post,AR,54,female,bachelors degree,17,121,114,20.9418691,258.875,unspecified,80.53167586467595,27.856878799502653,unspecified,NA
36721,post,AR,32,female,high school,20,286,236,70.17256298333334,97.79166666666667,white,93.21971245113882,24.074591074592334,yes,14
17386,post,AR,44,female,bachelors degree,14,380,373,79.05480490000001,70.125,white,102.39649297175713,-3.1166838547448776,yes,16
29635,post,AR,38,female,associates or some college,27,353,244,86.5892771,89.79166666666667,white,132.23970401624268,5.840167348216539,yes,14
14394,post,AR,53,male,bachelors degree,21,2689,2592,540.12309445,90.83333333333333,unspecified,117.29430352573115,3.041243857506771,unspecified,NA
43662,post,AR,19,female,associates or some college,16,307,244,77.39409368333334,307.0833333333333,white,87.04122872468464,18.274949354192202,yes,12
27702,post,AR,57,female,masters degree or equivalent,21,632,395,173.82193586666668,72,white,120.33554738323792,0,yes,20
48312,post,AR,57,male,high school,12,33,33,7.010642833333334,216.95833333333334,white,111.30675057398027,-18.08703812284145,yes,12
37311,post,AR,43,male,masters degree or equivalent,11,329,286,72.85133366666666,78.125,white,102.39649297175713,-12.149053520547582,yes,20
20487,post,AR,59,female,associates or some college,5,408,408,75.87629431666667,98.375,white,73.62967004333692,-3.494704241125689,yes,14
7282,post,AR,55,female,bachelors degree,12,2343,1810,596.4227033,69.95833333333333,unspecified,102.39649297175713,-9.176780520618308,unspecified,16
7183,post,AR,46,male,associates or some college,4,391,246,109.00143483333333,75.83333333333333,other,70.13496580221123,-4.271872443683563,yes,8
52578,post,AR,42,male,bachelors degree,26,527,389,148.60480296666668,75.04166666666667,white,111.30675057398027,23.894820178308905,yes,16
8016,post,AR,50,female,bachelors degree,17,318,298,81.69848481666666,74.5,white,96.35662119210265,12.031933472075949,yes,16
38075,post,AR,31,female,bachelors degree,21,592,313,175.32386051666668,71.08333333333333,white,108.3885546641786,11.946992719059324,yes,16
46482,post,AR,46,male,masters degree or equivalent,20,296,287,70.28192295,69.16666666666667,white,120.33554738323792,-3.041243857506771,yes,18
45705,post,AR,22,male,associates or some college,22,284,175,69.95953363333334,109.29166666666667,white,111.30675057398027,11.864522956373548,yes,15
15758,post,AR,59,female,bachelors degree,13,238,238,48.75023458333333,92.91666666666667,unspecified,93.21971245113882,3.1369087409638325,unspecified,NA
48311,post,AR,23,female,bachelors degree,17,622,393,154.88669591666667,71.20833333333333,white,123.17127353035382,-14.782718866175216,yes,16
65851,post,AR,53,female,high school,14,119,83,24.19088335,97.95833333333333,unspecified,87.04122872468464,12.238580392327606,unspecified,NA
37293,post,AR,23,male,bachelors degree,19,30,30,6.819261533333333,194.83333333333334,white,96.35662119210265,18.020202344505137,yes,17
38907,post,AR,32,female,associates or some college,20,170,168,32.636022733333334,72.25,white,117.29430352573115,0,yes,12
1222,post,AR,31,female,associates or some college,12,2984,2461,1002.4835311166667,83.04166666666667,black,93.21971245113882,0,yes,13
35318,post,AR,48,female,masters degree or equivalent,19,216,129,118.01686351666666,71.25,white,108.3885546641786,5.988268872429188,yes,20
16723,post,AR,23,male,masters degree or equivalent,13,513,223,163.13213281666665,72.16666666666667,white,105.31617807887685,-8.959556886774195,yes,16
56711,post,AR,55,male,masters degree or equivalent,17,287,274,59.6825943,159.875,white,114.37682353660779,-5.988268872429188,yes,18
12919,post,AR,56,male,associates or some college,9,865,786,286.71805628333334,283.9583333333333,white,83.91638071555967,0,yes,13
22524,post,AR,58,unspecified,unspecified,17,565,318,165.56161476666668,90.04166666666667,unspecified,111.30675057398027,-2.9181959098016677,unspecified,NA
2218,post,AR,57,female,high school,16,2303,1941,910.5234245,70.54166666666667,white,114.37682353660779,-9.060645457730942,yes,12
21382,post,AR,16,female,high school,10,91,86,19.500154016666666,159.08333333333334,asian,73.62967004333692,13.411558681347728,no,10
59586,post,AR,57,female,bachelors degree,17,95,93,19.21659555,71.04166666666667,white,114.37682353660779,-5.988268872429188,yes,16
41607,post,AR,54,female,masters degree or equivalent,16,1144,510,386.61624085000005,71.20833333333333,white,111.30675057398027,-5.990572495103422,yes,18
