Participant,Trial,Condition,Time,DesiredResponse,ActualResponse,Angle,CorrectResponse,Age,Sex
sub1,1,R2_3_3_2_0Y0.pct,1355,Different,Different,0,Correct,31,Male
sub1,2,R3_4_3_2_90Y150.pct,2079,Different,Different,150,Correct,31,Male
sub1,3,2_4_4_2_0Y150.pct,1834,Same,Same,150,Correct,31,Male
sub1,4,3_3_3_2_0Y100.pct,4780,Same,Same,100,Correct,31,Male
sub1,5,3_3_3_3_90Y50.pct,1685,Same,Same,50,Correct,31,Male
sub1,6,R2_4_4_2_0Y50.pct,1237,Different,Different,50,Correct,31,Male
sub1,7,R3_3_3_3_90Y100.pct,2961,Different,Different,100,Correct,31,Male
sub1,8,2_3_3_2_0Y0.pct,1275,Same,Same,0,Correct,31,Male
sub1,9,R3_4_3_3_180Y150.pct,4716,Different,Different,150,Correct,31,Male
sub1,10,2_4_4_2_180Y150.pct,3794,Same,Different,150,Incorrect,31,Male
sub1,11,R3_3_4_2_0Y50.pct,2238,Different,Different,50,Correct,31,Male
sub1,12,R2_3_4_2_90Y0.pct,1524,Different,Different,0,Correct,31,Male
sub1,13,3_3_3_3_180Y0.pct,964,Same,Same,0,Correct,31,Male
sub1,14,R3_4_3_3_180Y100.pct,3770,Different,Different,100,Correct,31,Male
sub1,15,2_4_4_3_90Y100.pct,2750,Same,Same,100,Correct,31,Male
sub1,16,3_4_3_2_90Y50.pct,1226,Same,Same,50,Correct,31,Male
sub1,17,R2_4_4_3_90Y100.pct,1789,Different,Different,100,Correct,31,Male
sub1,18,2_3_3_2_0Y150.pct,1384,Same,Same,150,Correct,31,Male
sub1,19,R2_3_4_2_90Y50.pct,2548,Different,Different,50,Correct,31,Male
sub1,20,2_3_4_2_90Y50.pct,1588,Same,Same,50,Correct,31,Male
sub1,21,R2_4_4_2_180Y100.pct,2114,Different,Different,100,Correct,31,Male
sub1,22,R2_4_4_2_0Y0.pct,2158,Different,Different,0,Correct,31,Male
sub1,23,3_4_3_2_90Y0.pct,1096,Same,Same,0,Correct,31,Male
sub1,24,R3_3_3_2_0Y150.pct,3829,Different,Different,150,Correct,31,Male
sub1,25,R3_4_4_3_180Y150.pct,4725,Different,Different,150,Correct,31,Male
sub1,26,R3_4_3_3_180Y50.pct,3211,Different,Different,50,Correct,31,Male
sub1,27,3_4_3_3_180Y50.pct,1541,Same,Same,50,Correct,31,Male
sub1,28,3_3_3_3_90Y100.pct,3219,Same,Same,100,Correct,31,Male
sub1,29,2_4_4_2_180Y0.pct,1421,Same,Same,0,Correct,31,Male
sub1,30,R3_4_3_2_90Y0.pct,1308,Different,Different,0,Correct,31,Male
sub1,31,3_3_4_2_0Y150.pct,3781,Same,Same,150,Correct,31,Male
sub1,32,R3_3_4_2_0Y100.pct,2665,Different,Different,100,Correct,31,Male
sub1,33,3_3_3_3_180Y50.pct,1831,Same,Different,50,Incorrect,31,Male
sub1,34,3_3_4_2_0Y100.pct,4636,Same,Same,100,Correct,31,Male
sub1,35,3_4_4_3_180Y150.pct,3149,Same,Same,150,Correct,31,Male
sub1,36,R3_3_3_3_180Y0.pct,1202,Different,Different,0,Correct,31,Male
sub1,37,3_4_3_3_180Y100.pct,2735,Same,Same,100,Correct,31,Male
sub1,38,R3_3_3_3_180Y150.pct,3211,Different,Different,150,Correct,31,Male
sub1,39,3_4_3_3_180Y0.pct,1406,Same,Same,0,Correct,31,Male
sub1,40,R3_3_3_3_90Y50.pct,1383,Different,Different,50,Correct,31,Male
sub1,41,2_4_4_3_90Y150.pct,2668,Same,Same,150,Correct,31,Male
sub1,42,R3_4_3_3_180Y0.pct,2203,Different,Different,0,Correct,31,Male
sub1,43,3_3_3_3_180Y100.pct,5983,Same,Different,100,Incorrect,31,Male
sub1,44,R2_3_4_2_90Y150.pct,2750,Different,Same,150,Incorrect,31,Male
sub1,45,R2_3_3_2_0Y50.pct,2672,Different,Different,50,Correct,31,Male
sub1,46,R2_3_4_2_90Y100.pct,1975,Different,Different,100,Correct,31,Male
sub1,47,3_4_4_3_180Y0.pct,1081,Same,Same,0,Correct,31,Male
sub1,48,3_4_4_3_180Y50.pct,2144,Same,Different,50,Incorrect,31,Male
sub1,49,R2_4_4_2_0Y100.pct,2113,Different,Different,100,Correct,31,Male
sub1,50,R2_3_3_2_0Y150.pct,1967,Different,Different,150,Correct,31,Male
sub1,51,3_3_4_2_0Y0.pct,917,Same,Same,0,Correct,31,Male
sub1,52,R2_4_4_3_90Y0.pct,1510,Different,Different,0,Correct,31,Male
sub1,53,3_4_4_3_180Y100.pct,3031,Same,Same,100,Correct,31,Male
sub1,54,R2_4_4_2_180Y50.pct,1181,Different,Different,50,Correct,31,Male
sub1,55,3_3_3_2_0Y150.pct,5975,Same,Different,150,Incorrect,31,Male
sub1,56,2_4_4_2_0Y50.pct,1216,Same,Same,50,Correct,31,Male
sub1,57,R2_4_4_2_0Y150.pct,1487,Different,Different,150,Correct,31,Male
sub1,58,R3_4_3_2_90Y100.pct,2208,Different,Different,100,Correct,31,Male
sub1,59,2_3_4_2_90Y150.pct,2007,Same,Same,150,Correct,31,Male
sub1,60,3_4_3_2_90Y100.pct,1594,Same,Different,100,Incorrect,31,Male
sub1,61,2_4_4_3_90Y0.pct,854,Same,Same,0,Correct,31,Male
sub1,62,R2_4_4_2_180Y0.pct,1791,Different,Different,0,Correct,31,Male
sub1,63,R2_4_4_3_90Y50.pct,2273,Different,Different,50,Correct,31,Male
sub1,64,2_4_4_3_90Y50.pct,1992,Same,Same,50,Correct,31,Male
sub1,65,R2_4_4_2_180Y150.pct,2413,Different,Different,150,Correct,31,Male
sub1,66,3_3_3_3_90Y0.pct,1423,Same,Same,0,Correct,31,Male
sub1,67,3_3_3_3_180Y150.pct,3209,Same,Same,150,Correct,31,Male
sub1,68,R3_3_3_3_90Y0.pct,1435,Different,Different,0,Correct,31,Male
sub1,69,R3_3_3_2_0Y50.pct,2213,Different,Different,50,Correct,31,Male
sub1,70,2_4_4_2_180Y50.pct,2598,Same,Same,50,Correct,31,Male
sub1,71,2_4_4_2_0Y100.pct,2018,Same,Same,100,Correct,31,Male
sub1,72,R3_3_3_2_0Y100.pct,6237,Different,Same,100,Incorrect,31,Male
sub1,73,2_3_4_2_90Y100.pct,2944,Same,Same,100,Correct,31,Male
sub1,74,R3_3_3_3_180Y100.pct,1448,Different,Different,100,Correct,31,Male
sub1,75,3_3_3_3_90Y150.pct,3868,Same,Same,150,Correct,31,Male
sub1,76,R3_3_4_2_0Y0.pct,4086,Different,Different,0,Correct,31,Male
sub1,77,3_3_3_2_0Y0.pct,1364,Same,Same,0,Correct,31,Male
sub1,78,3_3_3_2_0Y50.pct,2642,Same,Different,50,Incorrect,31,Male
sub1,79,R3_3_3_3_180Y50.pct,2136,Different,Different,50,Correct,31,Male
sub1,80,R3_3_3_3_90Y150.pct,2775,Different,Different,150,Correct,31,Male
sub1,81,R3_4_4_3_180Y50.pct,2794,Different,Same,50,Incorrect,31,Male
sub1,82,2_3_4_2_90Y0.pct,742,Same,Same,0,Correct,31,Male
sub1,83,R3_3_4_2_0Y150.pct,2645,Different,Different,150,Correct,31,Male
sub1,84,3_3_4_2_0Y50.pct,3445,Same,Same,50,Correct,31,Male
sub1,85,2_4_4_2_180Y100.pct,1756,Same,Different,100,Incorrect,31,Male
sub1,86,R3_4_4_3_180Y0.pct,1625,Different,Different,0,Correct,31,Male
