Dyad_ID,Sbj_ID,Condition,Manipulated_is_1,CO_baseline,CO_prep,CO_pitch,PrepIOS,WarmthPerception,CompetencePerception,PrepNA,PrepPA,PitchNA,PitchPA
5,109,-1,1,4.7126374,3.7963244,3.7551994,4,4,4,1.48484848486111,1.94949494958333,1.44444444455556,2.30808080794444
5,110,-1,0,7.7922148,4.9353878,NA,2,5,5,1.43402777777778,2.48958333333333,1.51388888888889,1.94444444444444
6,111,-1,1,4.4916488,4.4770178,5.0426058,4,4,5,1.35069444444444,1.99652777777778,1.39583333333333,2.49305555555556
6,112,-1,0,6.0643763999999996,6.3140444,7.7876594,6,5,4,1.50347222222222,2.38888888888889,1.63888888888889,1.97916666666667
8,115,1,1,NA,NA,NA,7,5,5,1.16319444444444,2.81597222222222,1.56944444444444,2.16666666666667
8,116,1,0,4.3415722,4.3400302,4.6791492,4,4,4,1.27777777777778,2.08333333333333,1.5,2.1875
10,119,0,1,4.000306667,4.881841667,5.075067667,4,4,4,1.19444444444444,2.08333333333333,1.38888888888889,2.33333333333333
10,120,0,0,5.8828116,NA,NA,2,4,4,1.47222222222222,1.44444444444444,1.55555555555556,1.33333333333333
11,121,1,1,2.454941,NA,NA,2,4,4,1.72222222222222,2.19444444444444,2.22222222222222,1.5
11,122,1,0,3.164905,3.866488,NA,3,4,4,1.22222222222222,1.55555555555556,1.66666666666667,1.83333333333333
12,123,0,1,5.141611333,4.475863333,3.604240333,7,4,5,1.16666666666667,2.13888888888889,1.5,2.38888888888889
12,124,0,0,4.4646462,6.0599872,5.8881482,6,4,3,1.41666666666667,1.72222222222222,1.72222222222222,1.72222222222222
13,125,-1,1,NA,NA,NA,6,4,4,1.33333333333333,1.69444444444444,1.5,1.66666666666667
13,126,-1,0,4.1648012,4.8034262,5.5259222,6,5,5,1.16666666666667,2.52777777777778,1.61111111111111,2
14,127,1,1,3.7861852,4.3139362,3.9432122,7,5,5,1.05555555555556,2.05555555555556,1.66666666666667,2
14,128,1,0,2.4908178,2.7826118,4.1661548,4,5,5,1.33333333333333,1.97222222222222,1.83333333333333,1.44444444444444
15,129,0,1,5.023301,4.236821,NA,4,5,3,1.02777777777778,2.52777777777778,1.5,2.5
15,130,0,0,6.001912,5.253735,NA,3,4,4,1.61111111111111,1.44444444444444,1.66666666666667,1.61111111111111
16,131,-1,1,NA,NA,NA,3,4,4,1.63888888888889,1.61111111111111,1.61111111111111,1.66666666666667
16,132,-1,0,5.212839,5.077584,NA,5,3,4,1.19444444444444,2.44444444444444,1.38888888888889,2
17,133,0,1,6.4866702,7.0952582,6.2469222,4,4,4,1.44444444444444,2.44444444444444,1.55555555555556,2.05555555555556
17,134,0,0,5.1569884,5.2355104,5.5173584,3,4,4,1.61111111111111,1.5,1.55555555555556,1.55555555555556
18,135,0,1,10.539927,10.837093,10.787313,4,4,4,1.63888888888889,1.69444444444444,2.22222222222222,1.72222222222222
18,136,0,0,6.3579374,7.5252124,8.0916014,3,5,5,1.38888888888889,1.75,1.61111111111111,1.55555555555556
20,139,1,1,3.613408,5.053938,6.312786,4,4,3,1.30555555555556,2.05555555555556,1.66666666666667,1.94444444444444
20,140,1,0,2.8522215,3.9407515,4.2280775,NA,NA,NA,NA,NA,NA,NA
21,141,1,1,3.759627,3.536486,4.200255,5,3,4,1.27777777777778,1.88888888888889,1.5,1.72222222222222
21,142,1,0,6.39659925,7.56058625,7.30120925,2,3,4,1.25,1.69444444444444,1.16666666666667,1.94444444444444
22,143,0,1,8.634824,7.545943,9.040314,5,4,4,1.16666666666667,2.41666666666667,1.55555555555556,1.88888888888889
