"","id","session","stresscond","stresslevel","group","order","date","warehouse_Time_to_eliminate_enemies_total","warehouse_Distance_rifle_moved_total","warehouse_Shots_fired_total","warehouse_Number_of_hits_total","warehouse_Number_of_misses_total","warehouse_Hits_per_shots_fired_total","warehouse_Misses_per_shots_fired_total","warehouse_Hits_on_enemies_total","warehouse_Hits_on_hostages_total","warehouse_Hits_on_enemies_per_shots_fired_total","warehouse_Hits_on_hostages_per_shots_fired_total","warehouse_Points_per_shots_fired_total","warehouse_Average_total_radial_error_of_all_chest_shots_fired_total","warehouse_Average_total_radial_error_of_all_head_shots_fired_total","warehouse_Standard_deviation_average_total_radial_error_per_chest_shots_fired_total","warehouse_Standard_deviation_average_total_radial_error_per_head_shots_fired_total","warehouse_Time_to_aim_at_avatars_total","warehouse_Time_until_action_taken_total","warehouse_Total_performance_score","warehouse_Total_performance_score_rep","warehouse_Total_performance_score_revtime","range_shots_fired","range_total_hits","range_total_points","range_total_radial_error","range_total_standard_deviation","range_total_time_to_aim","range_total_time_to_shoot","HR.baseline","HRV.baseline","HRConfidenceGT50.baseline","HR.warehouse","HRV.warehouse","HRConfidenceGT50.warehouse","meanscl_baseline","meanscl_warehouse","scrnsf_baseline","scrnsf_warehouse","scramp_baseline","scramp_warehouse","scrrise_baseline","scrrise_warehouse","scrrec_baseline","scrrec_warehouse","scronset_baseline","scronset_warehouse","STICSACOG_BL","STICSASOM_BL","STICSACOG_PT","STICSASOM_PT","STICSACOG_PW","STICSASOM_PW","sample_timing","aa_mean_time1","aa_mean_time2","aa_mean_time3","aa_mean_time4","cort_mean_time1","cort_mean_time2","cort_mean_time3","cort_mean_time4"
"1",1,1,"HS","High_Stress","Mindfulness",1,2018-06-04,715.6101,293.1643,453,200,238,0.4424779,0.5325581,188,12,0.4159292,0.02660754,57371.88,0.2151937,0.1091981,198.052,16.1257,906.0598,144.1227,558,558.220489977728,32.5985915492958,40,12,445,239.9005,7066.619,100.6013,18.35959,56.16,99.0066666666667,1,66.0607843137255,80.1823529411765,0.942156862745098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,17,12,17,NA,NA,"intended",94.1,136.1,127.1,115.1,0.092,0.089,0.07,0.071
"2",1,2,"LS","Low_Stress","Mindfulness",1,2018-06-06,724.9655,335.1396,363,204,154,0.566092,0.4281525,200,4,0.5590778,0.01114206,55075,0.3250727,0.025007,368.6552,1.425541,888.1544,174.871,724,723.872905027933,210.854599406528,40,8,245,152.609,1959.883,122.0107,13.65617,67.6044444444444,81.6366666666667,0.998888888888889,62.5935960591133,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,15,12,15,NA,NA,"intended",218.6,191.2,146.3,145.6,0.155,0.114,0.09,0.089
"3",2,1,"LS","Low_Stress","Reappraisal",2,2018-06-05,796.2184,212.8276,491,157,319,0.3289183,0.6529774,148,9,0.3112583,0.01898734,44521.88,0.03596662,0.02256076,0.4599374,0.71084,884.7856,178.2079,661.5,661.338085539715,-9.98675496688742,40,25,910,539.3889,68591.41,109.3571,46.71483,59.5095238095238,126.945238095238,1,69.9806389157793,NA,0.806389157792836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,11,NA,NA,NA,NA,"intended",62.8,129.2,60.7,60.5,0.245,0.166,0.2,0.238
"4",2,2,"HS","High_Stress","Reappraisal",2,2018-06-07,750.3864,461.6618,519,204,308,0.4041237,0.5934489,203,1,0.4020618,0.00210084,54162.5,0.02982156,0.001483312,0.2376624,0.003737486,871.7347,191.0815,782.5,782.279922779923,182.404411764706,43,13,520,261.9821,8726.361,98.39954,24.41688,67.94,NA,0.986666666666667,63.1264258555133,96.5769961977186,0.848859315589354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,14,9,11,10,23,"intended",43.3,101.7,74,60.8,0.353,0.135,0.116,0.138
"5",3,1,"HS","High_Stress","Control",1,2018-06-11,778.4186,480.1048,1164,167,953,0.1435941,0.8259293,161,6,0.1384351,0.005263158,45287.5,0.01472567,0.002538835,0.1793304,0.06531233,988.9578,74.06966,677.5,677.453608247423,39.1316984559491,40,15,435,275.6991,11198.43,317.9519,27.27163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,11,11,18,14,16,"intended",31.5,56.7,42.8,33.1,0.15,0.206,0.235,0.18
"6",3,2,"LS","Low_Stress","Control",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,16,415,306.9385,14357.58,208.9089,30.78153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",4,1,"LS","Low_Stress","Mindfulness",2,2018-06-12,743.3802,497.7952,815,165,606,0.2037037,0.7496871,159,6,0.1962963,0.007509387,49159.38,0.02574751,0.003376918,0.5234969,0.08301915,953.0563,109.9836,653,653.158895705521,64.5738423028786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13,16,13,13,18,"intended",172.9,220.7,122.3,94.3,0.11,0.079,0.084,0.075
"8",4,2,"HS","High_Stress","Mindfulness",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"intended",NA,NA,NA,NA,NA,NA,NA,NA
"9",5,1,"HS","High_Stress","Reappraisal",1,2018-06-12,710.7408,444.7329,861,180,638,0.2362416,0.7409989,171,9,0.2255034,0.01140684,51790.63,0.02843624,0.003082432,0.5112299,0.05467969,959.2818,103.578,561,561.146100116414,62.0695592286501,40,9,260,169.2973,2709.897,92.05126,14.5891,76.3428571428571,44.65,1,113.666666666667,40.6029411764706,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,19,20,16,16,21,"intended",71,160.7,80.4,78.7,0.199,0.19,0.184,0.106
"10",5,2,"LS","Low_Stress","Reappraisal",1,2018-06-13,644.0503,455.7997,968,200,719,0.2149221,0.7427686,193,7,0.2071269,0.008027523,56806.25,0.02828362,0.004463635,0.4736908,0.2739168,985.6422,77.5983,533.5,533.34194214876,132.68004587156,40,15,415,287.4109,11837.4,120.151,20.00486,77.5095238095238,45.2285714285714,1,137.948958333333,27.1697916666667,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,14,10,11,13,14,"intended",73.1,103.3,169.6,129.4,0.429,0.305,0.271,0.242
"11",6,1,"HS","High_Stress","Mindfulness",1,2018-06-13,748.4918,343.2218,764,186,522,0.247619,0.6859396,182,4,0.2431655,0.005486968,51631.25,0.03378287,0.00465514,0.6830817,0.2030407,939.8766,117.0033,702,701.845800524934,118.348201438849,40,10,240,189.4283,3657.963,331.7188,50.86709,84.1041666666667,57.7708333333333,1,113.99642431466,40.5768772348033,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,17,13,15,10,21,"intended",44.3,14.3,67.2,52.2,0.526,0.382,0.267,0.395
