Participant,Angle0_Different,Angle0_Same,Angle50_Different,Angle50_Same,Angle100_Different,Angle100_Same,Angle150_Different,Angle150_Same
sub1,1909.75,1114.5,2094.273,1833.111,2537.727,3056.778,2950.273,2910.1
sub10,2598.25,1280.417,3219.25,2809.333,4694.364,4823.833,3613.625,4429.6
sub11,2087.083,1529.75,2615.083,2762.167,3917,3757.818,3819.5,4920.286
sub12,1893.1,1248.417,1773.833,1970,2215.3,2867.75,2791.1,2538.857
sub13,985,856,1149.909,1239.167,1738,1570.667,2193.182,1822.5
sub14,1371.75,1122.667,1496.25,1551,1845.3,1836.455,1720.455,1789.818
sub15,2457.667,1339.917,1741.6,2072.167,2854,2513,2819.1,2952.273
sub16,2160.417,1944.833,2495.909,2469.364,2835,3615.182,3057.909,3606.083
sub17,1633,1572.909,1777.818,2373.667,2709.818,3077.727,2521,4270.5
sub18,3870.4,1890.333,4150.9,3602.182,4351,5232.167,4650.833,5104.889
sub19,4983.182,2229.167,5422.857,4218.9,5114.571,4746.375,4346.455,5164.25
sub2,1525.25,976.833,2093.273,1492,2373.5,2171.818,3256.6,2475.364
sub20,1372.545,1396.25,2021.833,2053.5,2581.818,2398.091,2773.2,2883.364
sub21,1433.727,1045.583,1329.3,1812.667,2317.75,1447.75,1640.8,1724.444
sub22,3095.545,1688.083,4323.833,3001,4385.273,3796.273,4665.8,4578
sub23,2004.455,1149.667,1836.4,1955.111,2338.545,2435.5,2439.455,2554.889
sub24,2097,1507.667,2094.182,2316.556,2758.9,2673.727,4054.222,2962.4
sub25,1436.889,1002.333,1418.25,1398.091,2100.182,2296.625,2122.556,1933.857
sub26,1822.455,1232.417,2042.083,1778.833,2710.583,2360.3,2229.1,3563.917
sub27,1955.7,2003.917,2661,2507.8,2693.143,2616.545,3145.6,2812.571
sub28,2168.833,1191.083,2209.364,2445.909,2872.333,2972.364,3073.2,2762.818
sub29,3195,1413.636,2451.2,2672.333,3116.5,3760.556,3702.182,2776.2
sub3,2297.2,1181.417,1943,1781.75,2543.9,2537.222,2573.091,2493.375
sub30,2624.091,1411.583,3105.333,2144.273,4634.7,3457.667,4726.727,4000.125
sub31,2694.833,1283.75,2293.5,3614.182,4504.2,4041.25,4530.875,4775
sub32,3132.167,1340.25,2863.636,1798.364,3155.909,2757.333,3055.818,2575.1
sub33,1640,1298.417,2099,1655.2,1909.2,1933.889,3074.3,2252.364
sub34,2367.909,1737.25,3098.75,2929.25,4216.083,2907.9,3539.2,4220.182
sub35,2647.667,1544.5,3395.75,2686.417,3260.909,3312,3500,3520.4
sub36,1918.25,1221.833,1969,2085.8,2779.75,2733.167,2800.6,3625.455
sub37,1976.25,1478.917,2470.75,2630.4,2664.333,2420.8,2800.818,2936
sub38,3264.5,1502.083,3416.583,2852.083,4336.583,3544.6,3900.2,3881.8
sub39,2418.636,1787.083,2650.545,2517.875,3037,2578.7,2721.8,3551.667
sub4,1784.583,1216.583,2011.545,2051.583,2585.833,1902.182,2513.818,2192.364
sub40,2414.583,1810.917,3101.833,2929.364,2960.636,3733.182,3961.667,4078.714
sub41,1640.667,1409,1918.083,2800.833,2784.455,2956.727,2918.25,4682.375
sub42,2322.583,2054.333,1892.917,1997.7,2886.727,2954.636,3186.583,3579.3
sub43,1677.833,2033.333,2597.091,3079.9,3058.286,3917,4009.222,4062.667
sub44,3089.2,3203.167,4643.545,4221,5336.182,4585.667,6050.167,4304.8
sub45,2553.25,1243.333,2446,2773.25,4370.5,4213.545,3384.222,4743.444
sub46,3707,1492.5,4227.182,3450.5,4398.1,3460.5,4205.6,4018.545
sub47,1978.545,1483.75,2038.5,2976.5,3585.5,3325.333,3865.6,3304.222
sub48,2018.25,1077.417,2128,2726.889,3089,3251.091,3517.667,2934.9
sub49,2396.25,1609.833,2465.667,2353.083,3033.667,2667.5,3530,3213.167
sub5,2909.273,1423.25,3688,1534.583,2653.444,2490.25,2860.909,2454.75
sub50,3101,2242.091,3326.545,2787.917,3619.667,3397.083,3523.364,2801.8
sub51,1493.286,1415.5,2151.25,1966,2198.6,2952.143,2758.182,2031.571
sub52,3200.6,4387.75,2944.6,3061.909,3859.091,3200.545,3355.545,3714.667
sub53,4153.545,2300.091,3586.556,4448.25,3886.6,4933.818,4168.364,4529.857
sub54,3177.889,1640.333,3248,2516.75,4047.1,2904.5,3755.111,3411.364
sub6,1497,1133.833,1478.583,1265.091,1556.545,1560,1687.333,2066.909
sub7,2330.818,1752.917,3240.667,2637.727,3153.667,2632.25,2837,3335.273
sub8,1696.455,1230.167,1939,1709.25,3026.5,2631.583,2728,2829.273
sub9,2293.5,1730.75,2480.417,2570.182,2966.455,2926,3379.273,3728.6
