ID,test_type,assessment,age,gender,education_level,raw_score,gameplays_prior,unique_days_prior,gametime_prior,days_since_first_test,ethnicity,pretest_score,delta,english_nativelang,years_edu,edu_cat,imaginary_screensize
18625,post,AR,15,female,some high school,17,380,334,102.2488292,74.25,white,99.27980911701225,9.10874554716635,yes,10,hs,1322
57788,post,AR,54,female,bachelors degree,13,469,410,92.69003596666667,91,unspecified,102.39649297175713,-6.039871779654476,unspecified,NA,college,1310
8473,post,AR,47,female,bachelors degree,19,2365,1605,962.8596191833334,99.70833333333333,white,105.31617807887685,9.060645457730942,yes,16,college,1330
16777,post,AR,21,female,associates or some college,14,352,231,161.2823433,90,unspecified,99.27980911701225,0,unspecified,NA,college,1319
31751,post,AR,46,female,bachelors degree,15,1152,340,289.6398030666667,69.70833333333333,white,99.27980911701225,3.1166838547448776,yes,17,college,1323
18511,post,AR,51,male,bachelors degree,12,241,158,46.33212983333333,74.83333333333333,white,96.35662119210265,-3.1369087409638325,yes,16,college,1315
3796,post,AR,26,female,bachelors degree,12,346,211,89.64006738333333,70.875,asian,96.35662119210265,-3.1369087409638325,no,16,college,1325
26421,post,AR,56,female,bachelors degree,12,491,332,125.41803505,146.58333333333334,white,99.27980911701225,-6.060096665873431,yes,17,college,1329
3215,post,AR,36,female,bachelors degree,15,63,61,14.277498683333334,90.79166666666667,white,114.37682353660779,-11.98033056485066,yes,18,college,1322
59020,post,AR,59,female,bachelors degree,12,400,344,76.63678546666667,69.83333333333333,white,99.27980911701225,-6.060096665873431,yes,16,college,1317
18236,post,AR,58,female,bachelors degree,11,943,903,169.15245771666667,69.66666666666667,white,96.35662119210265,-6.109181740893106,yes,16,college,1310
26811,post,AR,34,male,bachelors degree,19,181,180,35.64501225,128.91666666666666,hispanic,123.17127353035382,-8.794449993746028,yes,16,college,1320
22899,post,AR,57,female,associates or some college,13,119,38,22.758807,97.95833333333333,unspecified,87.04122872468464,9.315392467418008,yes,14,college,1332
51990,post,AR,56,male,masters degree or equivalent,18,239,234,46.15215925,70.79166666666667,white,108.3885546641786,2.9181959098016677,unspecified,18,postcollege,1321
40833,post,AR,52,female,masters degree or equivalent,20,115,110,27.605406783333333,70.29166666666667,white,117.29430352573115,0,yes,19,postcollege,1310
11821,post,AR,27,male,associates or some college,9,205,189,36.1856546,246.25,white,105.31617807887685,-21.399797363317177,yes,13,college,1312
24457,post,AR,58,male,associates or some college,17,165,151,34.761761033333336,69.95833333333333,unspecified,96.35662119210265,12.031933472075949,unspecified,NA,college,1331
32184,post,AR,59,male,associates or some college,19,273,263,62.960730733333335,71.04166666666667,white,114.37682353660779,0,yes,14,college,1305
12978,post,AR,36,male,bachelors degree,17,252,225,47.93097803333333,97.875,unspecified,99.27980911701225,9.10874554716635,unspecified,NA,college,1323
36750,post,AR,55,female,associates or some college,12,48,48,8.975265666666667,193.66666666666666,white,99.27980911701225,-6.060096665873431,yes,14,college,1304
29889,post,AR,53,male,high school,24,1679,257,406.7887084166667,83.95833333333333,white,108.3885546641786,20.75134010055953,yes,11,hs,1320
50771,post,AR,59,male,phd,16,72,68,14.81006505,70.04166666666667,white,105.31617807887685,0,yes,20,postcollege,1314
27679,post,AR,21,male,bachelors degree,11,73,58,19.164914083333333,190.125,white,96.35662119210265,-6.109181740893106,no,14,college,1331
12477,post,AR,56,female,bachelors degree,16,265,229,60.32187465,123.29166666666667,white,93.21971245113882,12.096465627738027,yes,16,college,1319
32610,post,AR,48,female,bachelors degree,17,537,474,103.01140503333333,70.91666666666667,white,96.35662119210265,12.031933472075949,yes,16,college,1323
61420,post,AR,54,female,phd,9,827,398,206.29549963333335,69.79166666666667,white,73.62967004333692,10.286710672222753,yes,20,postcollege,1341
20442,post,AR,29,female,associates or some college,12,164,141,54.00379146666667,78.875,white,93.21971245113882,0,yes,14,college,1310
11190,post,AR,28,female,bachelors degree,21,198,163,39.02507108333334,77,asian,126.13779899619367,-5.802251612955743,yes,16,college,1315
63422,post,AR,53,female,masters degree or equivalent,20,259,250,59.249345516666665,94.95833333333333,unspecified,114.37682353660779,2.9174799891233647,unspecified,NA,postcollege,1303
62099,post,AR,57,female,associates or some college,12,182,178,34.184790416666665,90.875,unspecified,90.24743945120954,2.972272999929274,unspecified,NA,college,1326
53381,post,AR,43,male,associates or some college,19,124,117,29.283248516666667,77.75,white,114.37682353660779,0,yes,14,college,1316
